Time CPU_use RAM_filled Net_bytes_sent Net_bytes_received Temperature Disk_IO_percentage
14:48:04 55.2 910413824 708479457 83039147 50.634 0.07365878863615154
14:48:05 55.6 910929920 708479953 83039643 50.634 0.07365878863615154
14:48:06 56.7 911187968 708480449 83040139 51.121 0.07365878863615154
14:48:07 55.5 912289792 708480945 83040635 52.095 0.07365878863615154
14:48:08 51.8 910925824 708482209 83041249 51.608 0.07365858743952644
14:48:09 56.3 911179776 708482705 83041745 52.095 0.07365858743952644
14:48:10 55.9 911237120 708483201 83042241 50.634 0.07365845330905367
14:48:11 55.8 910471168 708483697 83042737 52.095 0.07374950207705003
14:48:12 54.1 910274560 708484193 83043233 50.147 0.07374950207705003
14:48:13 47.1 909398016 708485637 83043847 51.608 0.07374896489685843
14:48:14 55.2 909467648 708486133 83044343 51.608 0.07374896489685843
14:48:15 55.5 909877248 708486629 83044839 50.634 0.07374896489685843
14:48:16 55.9 911040512 708487125 83045335 50.147 0.07374896489685843
14:48:17 54.0 910462976 708487621 83045831 51.608 0.07374896489685843
14:48:18 53.2 909459456 708489233 83046445 51.608 0.07374876345630409
14:48:19 55.4 910385152 708489729 83046941 50.634 0.07374876345630409
14:48:20 56.6 910749696 708490339 83047605 50.634 0.07374876345630409
14:48:21 55.2 910196736 708490835 83048101 51.608 0.07374876345630409
14:48:22 52.7 910409728 708491331 83048597 50.147 0.07374876345630409
14:48:23 54.3 909611008 708492579 83049211 51.121 0.07374876345630409
14:48:24 53.7 909922304 708493075 83049707 51.608 0.07374856201685018
14:48:25 56.0 909602816 708493613 83050263 51.608 0.07374856201685018
14:48:26 56.3 910553088 708494109 83050759 52.582 0.07374856201685018
14:48:27 47.2 909930496 708494605 83051255 50.147 0.07374856201685018
14:48:28 4.6 909193216 708495923 83051885 49.173 0.07374856201685018
14:48:29 5.0 909336576 708496171 83052133 48.199 0.07374836057849671
14:48:30 4.5 909852672 708496419 83052381 46.738 0.07374836057849671
14:48:31 5.1 910696448 708496667 83052629 47.225 0.07374836057849671
14:48:32 5.9 910696448 708496985 83052947 47.712 0.07374836057849671
14:48:33 6.4 910696448 708497233 83053195 47.225 0.07374836057849671
14:48:34 6.4 910696448 708497481 83053443 47.225 0.07374836057849671
14:48:35 6.6 910491648 708497729 83053691 46.738 0.07374782341493392
14:48:36 6.4 910794752 708497977 83053939 46.251 0.07374782341493392
14:48:37 5.2 910020608 708498225 83054187 46.738 0.07374782341493392
14:48:38 6.2 909398016 708498473 83054435 46.738 0.07374782341493392
14:48:39 6.6 909398016 708498721 83054683 45.764 0.07374782341493392
14:48:40 5.9 909905920 708498969 83054931 46.251 0.0737476219806153
14:48:41 6.9 910012416 708499217 83055179 46.738 0.0737476219806153
14:48:42 5.9 910163968 708499465 83055427 46.251 0.0737476219806153
14:48:43 7.1 910163968 708499713 83055675 45.764 0.0737476219806153
14:48:44 6.2 910413824 708499961 83055923 45.764 0.0737476219806153
14:48:45 6.9 910778368 708500209 83056171 44.79 0.07374755483608696
14:48:46 6.4 910663680 708500613 83056575 46.738 0.07383839951854815
14:48:47 7.4 910376960 708500861 83056823 45.277 0.07383839951854815
14:48:48 6.2 910671872 708501109 83057071 45.277 0.07383839951854815
14:48:49 6.2 910884864 708501357 83057319 45.277 0.07383839951854815
14:48:50 6.9 910643200 708501817 83057865 46.251 0.07383839951854815
14:48:51 7.1 910635008 708502065 83058113 46.251 0.07383819783811589
14:48:52 5.9 910376960 708502313 83058361 45.277 0.07383819783811589
14:48:53 12.2 909860864 708502561 83058609 46.251 0.07383819783811589
14:48:54 29.5 910397440 708711108 83064250 46.738 0.07392924370474736
14:48:55 4.0 910508032 708711468 83064746 46.251 0.07392924370474736
14:48:56 3.5 910864384 708711716 83064994 45.764 0.07392904177673702
14:48:57 3.3 911859712 708711964 83065242 45.764 0.07392904177673702
14:48:58 3.8 911859712 708712282 83065560 45.764 0.07392904177673702
14:48:59 4.7 911597568 708712572 83065868 45.277 0.07402008739468867
14:49:00 5.4 911597568 708712862 83066176 45.277 0.07402008739468867
14:49:01 5.2 911073280 708713694 83066542 44.79 0.07401988521910297
14:49:02 5.2 911437824 708713942 83066790 45.277 0.07401988521910297
14:49:03 4.9 911437824 708714260 83067108 45.277 0.07401988521910297
14:49:04 4.4 911331328 708714508 83067356 45.277 0.07401988521910297
14:49:05 7.1 911073280 708714756 83067604 44.79 0.07401988521910297
14:49:06 5.7 910815232 708715004 83067852 45.277 0.07401988521910297
14:49:07 5.7 911323136 708715252 83068100 45.277 0.07401968304462167
14:49:08 7.3 910807040 708715500 83068348 45.277 0.07401968304462167
14:49:09 6.2 911323136 708715748 83068596 44.79 0.07401968304462167
14:49:10 6.6 911429632 708715996 83068844 44.79 0.07401968304462167
14:49:11 6.4 911065088 708716244 83069092 44.79 0.07401968304462167
14:49:12 5.4 910655488 708716492 83069340 45.277 0.07401968304462167
14:49:13 5.9 910798848 708716740 83069588 44.79 0.0740194808712448
14:49:14 6.1 910798848 708716988 83069836 43.816 0.0740194808712448
14:49:15 6.2 910266368 708717236 83070084 44.303 0.0740194808712448
14:49:16 6.9 910372864 708717484 83070332 45.764 0.07401934608960711
14:49:17 6.1 910266368 708717732 83070580 45.277 0.07411039079574439
14:49:18 6.6 910245888 708717980 83072166 44.79 0.07410998595643079
14:49:19 6.4 909729792 708718342 83073920 45.277 0.07410998595643079
14:49:20 6.6 909729792 708718590 83074338 44.303 0.07410998595643079
14:49:21 6.9 909471744 708718838 83074586 44.79 0.07410998595643079
14:49:22 6.9 909987840 708719086 83074834 43.329 0.07410998595643079
14:49:23 5.4 909729792 708719334 83075082 44.303 0.07410998595643079
14:49:24 5.9 909721600 708719624 83075390 44.303 0.07410978353843262
14:49:25 6.6 909979648 708719872 83075638 44.303 0.07410978353843262
14:49:27 7.1 911011840 708720120 83075886 44.303 0.07410971606601227
14:49:28 6.6 911527936 708720368 83076134 44.79 0.07410971606601227
14:49:29 6.6 911527936 708720616 83076382 44.303 0.07410971606601227
14:49:30 7.1 911785984 708720934 83076700 44.303 0.07410971606601227
14:49:31 6.1 911777792 708721182 83076948 43.329 0.07410951364948841
14:49:32 6.9 912293888 708721430 83077196 43.816 0.07410951364948841
14:49:33 6.9 912293888 708721678 83077444 44.79 0.07410951364948841
14:49:34 6.2 911323136 708721926 83077692 45.277 0.07410951364948841
14:49:35 5.9 910745600 708722244 83078010 43.816 0.07410951364948841
14:49:36 6.4 910229504 708722492 83078258 44.303 0.07410951364948841
14:49:37 7.1 910221312 708722740 83078506 44.303 0.07410931123407026
14:49:38 6.6 910221312 708722988 83078754 43.816 0.07410931123407026
14:49:39 7.1 910995456 708723236 83079002 44.303 0.07410931123407026
14:49:40 6.2 911253504 708723484 83079250 43.329 0.07410931123407026
14:49:41 5.7 911511552 708723732 83079498 45.277 0.07410931123407026
14:49:42 7.1 910995456 708723980 83079746 43.329 0.07410931123407026
14:49:43 6.4 910471168 708724228 83079994 44.303 0.07410910881975782
14:49:44 6.9 910213120 708724476 83080242 43.816 0.07410910881975782
14:49:45 6.9 910213120 708724724 83080490 43.816 0.07410910881975782
14:49:46 6.4 910213120 708724972 83080738 43.329 0.07410910881975782
14:49:47 5.4 909795328 708725376 83081142 44.303 0.07410910881975782
14:49:48 7.9 909946880 708725624 83081390 43.816 0.07410910881975782
14:49:49 6.9 910196736 708725945 83081711 43.816 0.07410890640655109
14:49:50 6.9 910462976 708726405 83082257 43.816 0.07410890640655109
14:49:51 5.7 909688832 708726653 83082505 43.816 0.07410890640655109
